Country;Admin1;Admin2;ISO3;Admin2 Pcode;Admin1 Pcode;Month;Year;Events;Fatalities
Myanmar;Shan-South;Langkho;MMR;MMR014D003;MMR014;April;2010;0;0
Myanmar;Shan-South;Loilen;MMR;MMR014D002;MMR014;April;2010;0;0
Myanmar;Chin;Falam;MMR;MMR004D001;MMR004;April;2010;0;0
Myanmar;Kayin;Hpapun;MMR;MMR003D004;MMR003;April;2010;0;0
Myanmar;Mandalay;Nyaung-U;MMR;MMR010D005;MMR010;April;2010;0;0
Myanmar;Mon;Thaton;MMR;MMR011D002;MMR011;April;2010;0;0
Myanmar;Rakhine;Sittwe;MMR;MMR012D001;MMR012;April;2010;0;0
Myanmar;Sagaing;Mawlaik;MMR;MMR005D007;MMR005;April;2010;0;0
Myanmar;Sagaing;Monywa;MMR;MMR005D003;MMR005;April;2010;0;0
Myanmar;Sagaing;Yinmarbin;MMR;MMR005D009;MMR005;April;2010;0;0
Myanmar;Shan-East;Tachileik;MMR;MMR016D003;MMR016;April;2010;0;0
Myanmar;Tanintharyi;Kawthoung;MMR;MMR006D003;MMR006;April;2010;0;0
Myanmar;Yangon;Yangon-West;MMR;MMR013D004;MMR013;April;2010;0;0
Myanmar;Ayeyarwady;Hinthada;MMR;MMR017D002;MMR017;April;2010;0;0
Myanmar;Bago-West;Thayarwady;MMR;MMR008D002;MMR008;April;2010;0;0
Myanmar;Kayah;Bawlake;MMR;MMR002D002;MMR002;April;2010;0;0
Myanmar;Mandalay;Pyinoolwin;MMR;MMR010D002;MMR010;April;2010;0;0
Myanmar;Mandalay;Yamethin;MMR;MMR010D006;MMR010;April;2010;0;0
Myanmar;Mon;Mawlamyine;MMR;MMR011D001;MMR011;April;2010;1;0
Myanmar;Nay Pyi Taw;Det Khi Na;MMR;MMR018D002;MMR018;April;2010;0;0
Myanmar;Sagaing;Kanbalu;MMR;MMR005D010;MMR005;April;2010;0;0
Myanmar;Shan-North;Lashio;MMR;MMR015D001;MMR015;April;2010;1;1
