mention_week,median_tone,median_impact,mentions_count
2021-04-05,-5.87467362924282,-6.5,10
2021-04-05,-8.03030303030303,-10.0,272
2021-04-05,-7.21649484536083,-10.0,7
2021-04-05,-8.0,-10.0,737
2021-04-05,-4.71841704718417,-8.0,8
2021-04-05,-9.46073793755916,-9.0,35
2021-04-05,-5.0,-10.0,10
2021-04-05,-6.1415220293725,-7.2,27
2021-04-05,-4.90956072351421,-10.0,7
2021-04-05,-5.49019607843138,-5.0,6
2021-04-05,-6.21359223300971,-9.0,73
2021-04-05,-6.23052959501558,-10.0,326
2021-04-05,-7.59493670886076,-7.5,8
2021-04-05,-3.5904255319149,-8.0,27
2021-04-05,-5.83430571761961,-6.5,19
2021-04-05,-5.57103064066853,-10.0,117
2021-04-05,-5.6701030927835,-5.0,12
2021-04-05,-5.56745182012848,-6.5,11
2021-04-05,-8.53658536585366,-2.0,7
2021-04-05,-6.05143721633888,-10.0,29
2021-04-05,-7.23981900452488,-9.5,70
2021-04-05,-6.17075232459847,-10.0,99
2021-04-05,-3.84615384615385,-10.0,6
2021-04-05,-7.01402805611222,-9.5,107
2021-04-05,-7.83242258652094,-6.5,15
2021-04-05,-4.19847328244274,-9.0,18
2021-04-05,-6.57894736842105,-10.0,36
2021-04-05,-6.1415220293725,-10.0,142
2021-04-05,-6.58307210031348,-9.0,55
2021-04-05,-10.1468624833111,-10.0,16
2021-04-05,-7.88912579957356,-6.5,10
2021-04-05,-7.46753246753247,-6.5,33
2021-04-05,-5.71428571428572,-7.0,21
2021-04-05,-5.42986425339366,-10.0,16
2021-04-05,-6.25832223701731,-10.0,289
2021-04-05,-6.35514018691589,-5.0,161
2021-04-05,-7.79220779220779,-10.0,13
2021-04-05,-7.43243243243243,-10.0,9
2021-04-05,-4.42655935613682,-6.5,12
2021-04-05,-7.75444264943457,-10.0,18
2021-04-05,-7.72357723577236,-9.0,9
2021-04-05,-5.40098199672667,-7.2,12
2021-04-05,-7.35826296743064,-6.5,39
