mention_week,median_tone,median_impact,mentions_count
2022-08-08,-5.58766859344894,-5.0,14
2022-08-08,-7.66550522648084,-5.0,8
2022-08-08,-0.66577896138483,-5.0,27
2022-08-08,-0.8130081300813,-4.0,43
2022-08-08,-9.52380952380954,-5.0,12
2022-08-08,-7.11111111111111,-5.0,7
2022-08-08,1.5625,-2.0,6
2022-08-08,-7.20562390158172,-5.0,18
2022-08-08,-2.41545893719806,-4.4,10
2022-08-08,-1.43112701252236,-2.0,6
2022-08-08,-6.993006993007,-4.0,6
2022-08-08,-2.93609671848014,-5.0,72
2022-08-08,-6.21848739495799,-10.0,10
2022-08-08,0.38412291933419,-10.0,14
2022-08-08,-6.55021834061135,-5.0,9
2022-08-08,0.681818181818181,-5.0,9
2022-08-08,-1.67364016736402,-5.0,18
2022-08-08,-5.04347826086956,-4.0,11
2022-08-08,-2.94117647058823,-4.4,70
2022-08-08,-2.93609671848014,-5.0,72
2022-08-08,-3.2258064516129,-5.0,10
2022-08-08,-5.75539568345323,-10.0,460
2022-08-08,-6.19902120717782,-10.0,6
2022-08-08,-2.10526315789473,-4.4,9
2022-08-08,-1.39372822299652,-5.0,12
2022-08-08,-1.89393939393939,-5.0,9
2022-08-08,-0.70360598065083,-4.0,10
2022-08-08,-3.04114490161001,-5.0,31
2022-08-08,-2.75229357798165,-2.0,21
2022-08-08,-5.21653543307086,-10.0,25
2022-08-08,-4.44563470808784,-10.0,10
2022-08-08,-2.22746717804986,-5.0,11
2022-08-08,-1.77383592017738,-10.0,7
2022-08-08,-6.03674540682415,-9.0,12
2022-08-08,-1.55440414507772,-4.4,20
2022-08-01,-6.19047619047619,-10.0,8
2022-08-01,-3.75,-5.0,39
2022-08-01,-5.77200577200578,-5.8,252
2022-08-01,-2.63157894736842,-5.0,6
2022-08-01,-4.32079577245881,-9.5,10
2022-08-01,-2.59740259740259,-10.0,267
2022-08-01,-5.00424088210347,-5.0,23
2022-08-01,-8.63309352517989,-5.0,8
2022-08-01,4.6875,-10.0,6
2022-08-01,-0.21067415730337,-5.0,9
