mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,google_search
2016-10-31,Turkey,Asia,50401,https://www.google.com/search?q=site:pbs.org+Turkey+news+after:2016-10-31+before:2016-11-07
2016-10-31,Syria,Asia,41674,https://www.google.com/search?q=site:bbc.com+Syria+news+after:2016-10-31+before:2016-11-07
2016-10-31,Afghanistan,Asia,25830,https://www.google.com/search?q=site:pbs.org+Afghanistan+news+after:2016-10-31+before:2016-11-07
2016-11-07,United States,North America,337873,https://www.google.com/search?q=site:bbc.com+United States+news+after:2016-11-07+before:2016-11-14
2016-11-07,Iraq,Asia,40810,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2016-11-07+before:2016-11-14
2016-11-07,Syria,Asia,39582,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2016-11-07+before:2016-11-14
2016-11-07,United Kingdom,Europe,23323,https://www.google.com/search?q=site:pbs.org+United Kingdom+news+after:2016-11-07+before:2016-11-14
2016-11-07,Afghanistan,Asia,22725,https://www.google.com/search?q=site:aljazeera.com+Afghanistan+news+after:2016-11-07+before:2016-11-14
2016-11-14,United States,North America,304673,https://www.google.com/search?q=site:pbs.org+United States+news+after:2016-11-14+before:2016-11-21
2016-11-14,Syria,Asia,49056,https://www.google.com/search?q=site:dw.com+Syria+news+after:2016-11-14+before:2016-11-21
2016-11-14,Iraq,Asia,34568,https://www.google.com/search?q=site:dw.com+Iraq+news+after:2016-11-14+before:2016-11-21
2016-11-14,Russia,Europe,29137,https://www.google.com/search?q=site:dw.com+Russia+news+after:2016-11-14+before:2016-11-21
2016-11-14,Israel,Asia,26535,https://www.google.com/search?q=site:npr.org+Israel+news+after:2016-11-14+before:2016-11-21
2016-11-21,United States,North America,311668,https://www.google.com/search?q=site:apnews.com+United States+news+after:2016-11-21+before:2016-11-28
2016-11-21,Syria,Asia,42234,https://www.google.com/search?q=site:dw.com+Syria+news+after:2016-11-21+before:2016-11-28
2016-11-21,Turkey,Asia,30961,https://www.google.com/search?q=site:dw.com+Turkey+news+after:2016-11-21+before:2016-11-28
2016-11-21,United Kingdom,Europe,28859,https://www.google.com/search?q=site:dw.com+United Kingdom+news+after:2016-11-21+before:2016-11-28
2016-11-21,Israel,Asia,28648,https://www.google.com/search?q=site:aljazeera.com+Israel+news+after:2016-11-21+before:2016-11-28
2016-11-28,United States,North America,292031,https://www.google.com/search?q=site:pbs.org+United States+news+after:2016-11-28+before:2016-12-05
2016-11-28,Syria,Asia,52140,https://www.google.com/search?q=site:bbc.com+Syria+news+after:2016-11-28+before:2016-12-05
2016-11-28,Russia,Europe,24903,https://www.google.com/search?q=site:npr.org+Russia+news+after:2016-11-28+before:2016-12-05
2016-11-28,Iraq,Asia,22934,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2016-11-28+before:2016-12-05
2016-11-28,United Kingdom,Europe,22782,https://www.google.com/search?q=site:aljazeera.com+United Kingdom+news+after:2016-11-28+before:2016-12-05
2016-12-05,United States,North America,287247,https://www.google.com/search?q=site:apnews.com+United States+news+after:2016-12-05+before:2016-12-12
2016-12-05,Syria,Asia,71111,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2016-12-05+before:2016-12-12
2016-12-05,Russia,Europe,30844,https://www.google.com/search?q=site:aljazeera.com+Russia+news+after:2016-12-05+before:2016-12-12
2016-12-05,United Kingdom,Europe,25399,https://www.google.com/search?q=site:reuters.com+United Kingdom+news+after:2016-12-05+before:2016-12-12
2016-12-05,Iraq,Asia,24085,https://www.google.com/search?q=site:npr.org+Iraq+news+after:2016-12-05+before:2016-12-12
2016-12-12,United States,North America,263420,https://www.google.com/search?q=site:apnews.com+United States+news+after:2016-12-12+before:2016-12-19
2016-12-12,Syria,Asia,105979,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2016-12-12+before:2016-12-19
2016-12-12,Russia,Europe,40152,https://www.google.com/search?q=site:bbc.com+Russia+news+after:2016-12-12+before:2016-12-19
2016-12-12,Turkey,Asia,32866,https://www.google.com/search?q=site:apnews.com+Turkey+news+after:2016-12-12+before:2016-12-19
2016-12-12,United Kingdom,Europe,28111,https://www.google.com/search?q=site:apnews.com+United Kingdom+news+after:2016-12-12+before:2016-12-19
2016-12-19,United States,North America,192126,https://www.google.com/search?q=site:npr.org+United States+news+after:2016-12-19+before:2016-12-26
2016-12-19,Turkey,Asia,116094,https://www.google.com/search?q=site:apnews.com+Turkey+news+after:2016-12-19+before:2016-12-26
2016-12-19,Russia,Europe,94035,https://www.google.com/search?q=site:dw.com+Russia+news+after:2016-12-19+before:2016-12-26
2016-12-19,Germany,Europe,91559,https://www.google.com/search?q=site:npr.org+Germany+news+after:2016-12-19+before:2016-12-26
2016-12-19,Syria,Asia,68168,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2016-12-19+before:2016-12-26
2016-12-26,United States,North America,187072,https://www.google.com/search?q=site:npr.org+United States+news+after:2016-12-26+before:2017-01-02
2016-12-26,Russia,Europe,58369,https://www.google.com/search?q=site:aljazeera.com+Russia+news+after:2016-12-26+before:2017-01-02
2016-12-26,Syria,Asia,47616,https://www.google.com/search?q=site:apnews.com+Syria+news+after:2016-12-26+before:2017-01-02
2016-12-26,Turkey,Asia,41133,https://www.google.com/search?q=site:dw.com+Turkey+news+after:2016-12-26+before:2017-01-02
2016-12-26,Israel,Asia,36183,https://www.google.com/search?q=site:aljazeera.com+Israel+news+after:2016-12-26+before:2017-01-02
2017-01-02,United States,North America,246440,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-01-02+before:2017-01-09
2017-01-02,Turkey,Asia,83483,https://www.google.com/search?q=site:reuters.com+Turkey+news+after:2017-01-02+before:2017-01-09
2017-01-02,Israel,Asia,58529,https://www.google.com/search?q=site:pbs.org+Israel+news+after:2017-01-02+before:2017-01-09
2017-01-02,Syria,Asia,38415,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2017-01-02+before:2017-01-09
2017-01-02,Iraq,Asia,33495,https://www.google.com/search?q=site:aljazeera.com+Iraq+news+after:2017-01-02+before:2017-01-09
2017-01-09,United States,North America,263202,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-01-09+before:2017-01-16
2017-01-09,Israel,Asia,37197,https://www.google.com/search?q=site:reuters.com+Israel+news+after:2017-01-09+before:2017-01-16
2017-01-09,Russia,Europe,31605,https://www.google.com/search?q=site:apnews.com+Russia+news+after:2017-01-09+before:2017-01-16
2017-01-09,Syria,Asia,29940,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2017-01-09+before:2017-01-16
2017-01-09,Afghanistan,Asia,25470,https://www.google.com/search?q=site:apnews.com+Afghanistan+news+after:2017-01-09+before:2017-01-16
2017-01-16,United States,North America,337944,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-01-16+before:2017-01-23
2017-01-16,Israel,Asia,45129,https://www.google.com/search?q=site:reuters.com+Israel+news+after:2017-01-16+before:2017-01-23
2017-01-16,Mexico,North America,36691,https://www.google.com/search?q=site:npr.org+Mexico+news+after:2017-01-16+before:2017-01-23
2017-01-16,Syria,Asia,32066,https://www.google.com/search?q=site:bbc.com+Syria+news+after:2017-01-16+before:2017-01-23
2017-01-16,Turkey,Asia,31980,https://www.google.com/search?q=site:reuters.com+Turkey+news+after:2017-01-16+before:2017-01-23
2017-01-23,United States,North America,363668,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2017-01-23+before:2017-01-30
2017-01-23,Syria,Asia,58891,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2017-01-23+before:2017-01-30
2017-01-23,Mexico,North America,38434,https://www.google.com/search?q=site:apnews.com+Mexico+news+after:2017-01-23+before:2017-01-30
2017-01-23,Israel,Asia,37411,https://www.google.com/search?q=site:pbs.org+Israel+news+after:2017-01-23+before:2017-01-30
