mention_week,conflict_continent,conflict_country_name,material_conflict_mentions
2015-03-02,North America,Guadeloupe,95
2015-03-02,North America,Guatemala,1203
2015-03-02,North America,Haiti,1386
2015-03-02,North America,Honduras,783
2015-03-02,North America,Jamaica,902
2015-03-02,North America,Martinique,4
2015-03-02,North America,Mexico,27124
2015-03-02,North America,Nicaragua,332
2015-03-02,North America,Panama,969
2015-03-02,North America,Puerto Rico,221
2015-03-02,North America,Saint Lucia,3
2015-03-02,North America,Saint Vincent and the Grenadines,32
2015-03-02,North America,Trinidad and Tobago,455
2015-03-02,North America,Turks and Caicos Islands,70
2015-03-02,North America,United States,556011
2015-03-02,North America,"Virgin Islands, U.S.",16
2015-03-02,Oceania,Australia,64543
2015-03-02,Oceania,Fiji,188
2015-03-02,Oceania,Guam,289
2015-03-02,Oceania,Marshall Islands,5
2015-03-02,Oceania,Micronesia,10
2015-03-02,Oceania,Nauru,891
2015-03-02,Oceania,New Zealand,4066
2015-03-02,Oceania,Oceans,230
2015-03-02,Oceania,Palau,43
2015-03-02,Oceania,Papua New Guinea,47
2015-03-02,Oceania,Samoa,62
2015-03-02,Oceania,Tonga,59
2015-03-02,Oceania,Vanuatu,0
2015-03-02,South America,Argentina,9541
2015-03-02,South America,Bolivia,940
2015-03-02,South America,Brazil,9883
2015-03-02,South America,Chile,2217
2015-03-02,South America,Colombia,5672
2015-03-02,South America,Ecuador,976
2015-03-02,South America,Guyana,220
2015-03-02,South America,Paraguay,635
2015-03-02,South America,Peru,2423
2015-03-02,South America,Uruguay,1586
2015-03-02,South America,Venezuela,23295
2015-03-09,Africa,Algeria,3506
2015-03-09,Africa,Angola,304
2015-03-09,Africa,Benin,435
2015-03-09,Africa,Botswana,229
2015-03-09,Africa,Burkina Faso,2886
2015-03-09,Africa,Burundi,345
2015-03-09,Africa,Cameroon,4702
2015-03-09,Africa,Cape Verde,248
2015-03-09,Africa,Central African Republic,318
2015-03-09,Africa,Chad,8299
2015-03-09,Africa,Democratic Republic of Congo,463
2015-03-09,Africa,Djibouti,218
2015-03-09,Africa,Egypt,61070
2015-03-09,Africa,Eritrea,56
2015-03-09,Africa,Ethiopia,1373
2015-03-09,Africa,Gabon,30
2015-03-09,Africa,Gambia,589
2015-03-09,Africa,Ghana,3998
2015-03-09,Africa,Guinea,491
2015-03-09,Africa,Ivory Coast,3239
2015-03-09,Africa,Kenya,6961
2015-03-09,Africa,Liberia,1054
2015-03-09,Africa,Libya,35085
2015-03-09,Africa,Madagascar,179
2015-03-09,Africa,Malawi,700
2015-03-09,Africa,Mali,9492
2015-03-09,Africa,Mauritania,626
2015-03-09,Africa,Mauritius,621
2015-03-09,Africa,Morocco,8394
2015-03-09,Africa,Mozambique,903
2015-03-09,Africa,Namibia,1030
2015-03-09,Africa,Niger,6128
2015-03-09,Africa,Nigeria,61502
2015-03-09,Africa,Republic of Congo,896
2015-03-09,Africa,Reunion,8
2015-03-09,Africa,Rwanda,1560
2015-03-09,Africa,Senegal,626
2015-03-09,Africa,Seychelles,105
2015-03-09,Africa,Sierra Leone,1402
2015-03-09,Africa,Somalia,11272
2015-03-09,Africa,South Africa,17627
2015-03-09,Africa,South Sudan,3961
2015-03-09,Africa,Sudan,5118
2015-03-09,Africa,Tanzania,2177
2015-03-09,Africa,Togo,215
2015-03-09,Africa,Tunisia,2962
2015-03-09,Africa,Uganda,2264
2015-03-09,Africa,Western Sahara,25
2015-03-09,Africa,Zambia,960
2015-03-09,Africa,Zimbabwe,4396
2015-03-09,Africa,eSwatini,121
2015-03-09,Antarctica,Antarctica,290
2015-03-09,Asia,Afghanistan,30646
2015-03-09,Asia,Armenia,5009
2015-03-09,Asia,Azerbaijan,3593
2015-03-09,Asia,Bahrain,1875
2015-03-09,Asia,Bangladesh,23499
2015-03-09,Asia,Bhutan,43
2015-03-09,Asia,Brunei,208
2015-03-09,Asia,Cambodia,2424
2015-03-09,Asia,China,32137
2015-03-09,Asia,East Timor,237
2015-03-09,Asia,Georgia,213
2015-03-09,Asia,Hong Kong,1409
2015-03-09,Asia,India,66432
2015-03-09,Asia,Indonesia,30086
2015-03-09,Asia,Iran,37158
2015-03-09,Asia,Iraq,135336
2015-03-09,Asia,Israel,58388
2015-03-09,Asia,Japan,14622
2015-03-09,Asia,Jordan,7449
2015-03-09,Asia,Kazakhstan,2121
2015-03-09,Asia,Kuwait,2086
2015-03-09,Asia,Kyrgyzstan,575
2015-03-09,Asia,Laos,213
2015-03-09,Asia,Lebanon,14364
2015-03-09,Asia,Macau,14
2015-03-09,Asia,Malaysia,7907
2015-03-09,Asia,Maldives,4602
2015-03-09,Asia,Mongolia,447
2015-03-09,Asia,Myanmar,7279
2015-03-09,Asia,Nepal,2224
2015-03-09,Asia,North Korea,8901
2015-03-09,Asia,Oman,482
2015-03-09,Asia,Pakistan,43331
2015-03-09,Asia,Palestine,4753
2015-03-09,Asia,Philippines,19006
2015-03-09,Asia,Qatar,2391
2015-03-09,Asia,Saudi Arabia,13317
2015-03-09,Asia,Singapore,2480
2015-03-09,Asia,South Korea,19348
2015-03-09,Asia,Sri Lanka,5370
2015-03-09,Asia,Syria,117267
2015-03-09,Asia,Taiwan,1004
2015-03-09,Asia,Tajikistan,1945
2015-03-09,Asia,Thailand,6990
2015-03-09,Asia,Turkey,48128
2015-03-09,Asia,Turkmenistan,206
2015-03-09,Asia,United Arab Emirates,4096
2015-03-09,Asia,Uzbekistan,1205
2015-03-09,Asia,Vietnam,3840
2015-03-09,Asia,Yemen,21881
2015-03-09,Europe,Albania,1290
2015-03-09,Europe,Andorra,108
2015-03-09,Europe,Austria,2961
2015-03-09,Europe,Bailiwick of Guernsey,73
2015-03-09,Europe,Bailiwick of Jersey,1581
2015-03-09,Europe,Belarus,4609
2015-03-09,Europe,Belgium,4976
2015-03-09,Europe,Bosnia and Herzegovina,941
2015-03-09,Europe,Bulgaria,1920
2015-03-09,Europe,Croatia,1573
2015-03-09,Europe,Cyprus,783
2015-03-09,Europe,Czech Republic,5039
2015-03-09,Europe,Denmark,9717
2015-03-09,Europe,Estonia,603
2015-03-09,Europe,Finland,1029
2015-03-09,Europe,France,49982
2015-03-09,Europe,Germany,24714
2015-03-09,Europe,Gibraltar,27
2015-03-09,Europe,Greece,12259
