mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2016-04-11,Israel,Asia,45396,8897
2016-04-11,Russia,Europe,25375,12477
2016-04-11,Australia,Oceania,24989,4561
2016-04-18,United States,North America,241312,74306
2016-04-18,Syria,Asia,43667,17713
2016-04-18,Israel,Asia,42118,11595
2016-04-18,Turkey,Asia,25394,10371
2016-04-18,Afghanistan,Asia,23702,6305
2016-04-25,United States,North America,264427,79214
2016-04-25,Syria,Asia,59590,21756
2016-04-25,Israel,Asia,48318,8998
2016-04-25,Turkey,Asia,34031,13775
2016-04-25,Russia,Europe,25072,12735
2016-05-02,United States,North America,283540,79137
2016-05-02,Syria,Asia,72954,25559
2016-05-02,Israel,Asia,65624,14655
2016-05-02,Turkey,Asia,34855,14095
2016-05-02,Iraq,Asia,31025,9645
2016-05-09,United States,North America,294710,77935
2016-05-09,Syria,Asia,50405,20315
2016-05-09,Israel,Asia,50327,10245
2016-05-09,Iraq,Asia,42096,12765
2016-05-09,United Kingdom,Europe,28518,11806
2016-05-16,United States,North America,257651,76552
2016-05-16,Israel,Asia,36694,7945
2016-05-16,Iraq,Asia,32000,9646
2016-05-16,Syria,Asia,28684,13400
2016-05-16,Afghanistan,Asia,22972,7229
2016-05-23,United States,North America,310699,78772
2016-05-23,Iraq,Asia,42492,13711
2016-05-23,Syria,Asia,41550,15963
2016-05-23,Israel,Asia,38662,8176
2016-05-23,Russia,Europe,28975,13022
2016-05-30,United States,North America,269244,74256
2016-05-30,Iraq,Asia,45747,15590
2016-05-30,Syria,Asia,40474,17256
2016-05-30,Israel,Asia,32515,8976
2016-05-30,Saudi Arabia,Asia,31091,4367
2016-06-06,United States,North America,343621,89345
2016-06-06,Israel,Asia,59398,15005
2016-06-06,Syria,Asia,44440,16378
2016-06-06,Turkey,Asia,37649,13282
2016-06-06,Iraq,Asia,32420,11765
2016-06-13,United States,North America,490346,119034
2016-06-13,United Kingdom,Europe,64036,20653
2016-06-13,Syria,Asia,39393,15964
2016-06-13,Iraq,Asia,30874,11598
2016-06-13,Israel,Asia,29510,7919
2016-06-20,United States,North America,320098,84926
2016-06-20,United Kingdom,Europe,45058,16662
2016-06-20,Israel,Asia,35537,9574
2016-06-20,Syria,Asia,32900,14524
2016-06-20,Saudi Arabia,Asia,28348,3346
2016-06-27,United States,North America,244552,74722
2016-06-27,Turkey,Asia,144513,35169
2016-06-27,Bangladesh,Asia,68388,12682
2016-06-27,Israel,Asia,67339,17763
2016-06-27,United Kingdom,Europe,39586,14165
2016-07-04,United States,North America,651230,110391
2016-07-04,Saudi Arabia,Asia,48301,9094
2016-07-04,Iraq,Asia,46410,16845
2016-07-04,Israel,Asia,37168,10363
2016-07-04,Bangladesh,Asia,34208,10040
2016-07-11,United States,North America,507304,104641
2016-07-11,Turkey,Asia,157899,40048
2016-07-11,France,Europe,53363,17707
2016-07-11,Syria,Asia,34146,14004
2016-07-11,Israel,Asia,31498,8388
2016-07-18,United States,North America,456824,97278
2016-07-18,Turkey,Asia,91757,34228
2016-07-18,Germany,Europe,73251,17491
2016-07-18,France,Europe,37486,12640
2016-07-18,Syria,Asia,35633,15216
2016-07-25,United States,North America,348131,85102
2016-07-25,France,Europe,63938,21602
2016-07-25,Turkey,Asia,50910,21122
2016-07-25,Germany,Europe,42283,13862
2016-07-25,Syria,Asia,40413,16818
2016-08-01,United States,North America,290803,79699
2016-08-01,Syria,Asia,61578,21851
2016-08-01,Russia,Europe,34391,14122
2016-08-01,Iraq,Asia,33981,7958
2016-08-01,United Kingdom,Europe,33691,12237
2016-08-08,United States,North America,327023,83018
2016-08-08,Pakistan,Asia,56233,16032
2016-08-08,Syria,Asia,49877,19164
2016-08-08,United Kingdom,Europe,37161,10687
2016-08-08,Turkey,Asia,35883,13587
2016-08-15,United States,North America,336042,84009
2016-08-15,Turkey,Asia,65669,22216
2016-08-15,Syria,Asia,56425,21750
2016-08-15,India,Asia,37013,12442
2016-08-15,Afghanistan,Asia,36430,5489
2016-08-22,United States,North America,318076,77215
2016-08-22,Turkey,Asia,93934,32591
2016-08-22,Syria,Asia,72152,25563
2016-08-22,India,Asia,37114,11327
2016-08-22,Pakistan,Asia,33771,6831
2016-08-29,United States,North America,267664,72648
2016-08-29,Syria,Asia,57746,21282
2016-08-29,Turkey,Asia,49784,18983
2016-08-29,Saudi Arabia,Asia,29392,4490
2016-08-29,Israel,Asia,25956,7301
2016-09-05,United States,North America,239576,71864
2016-09-05,Syria,Asia,56783,20641
2016-09-05,Israel,Asia,30249,8782
2016-09-05,France,Europe,28051,9283
2016-09-05,Russia,Europe,25785,12104
2016-09-12,United States,North America,266566,78913
2016-09-12,Syria,Asia,75199,25780
2016-09-12,Israel,Asia,40399,13408
2016-09-12,Russia,Europe,33181,14043
2016-09-12,United Kingdom,Europe,29309,11375
2016-09-19,United States,North America,456081,104076
2016-09-19,Syria,Asia,104286,30428
2016-09-19,Russia,Europe,39405,16302
2016-09-19,Israel,Asia,36890,10702
2016-09-19,India,Asia,28116,15063
2016-09-26,United States,North America,352890,89419
2016-09-26,Syria,Asia,63954,25372
2016-09-26,Bangladesh,Asia,61888,1958
2016-09-26,Russia,Europe,38325,17082
2016-09-26,Israel,Asia,30204,8961
2016-10-03,United States,North America,323832,84646
2016-10-03,Syria,Asia,69961,25669
2016-10-03,Russia,Europe,43917,19904
2016-10-03,Turkey,Asia,39097,12934
2016-10-03,Israel,Asia,32756,10461
2016-10-10,United States,North America,277120,77712
2016-10-10,Syria,Asia,64375,22770
2016-10-10,Russia,Europe,37912,18826
2016-10-10,Israel,Asia,32331,9994
2016-10-10,Turkey,Asia,29995,12078
2016-10-17,United States,North America,268461,77020
2016-10-17,Iraq,Asia,94974,29027
2016-10-17,Syria,Asia,62292,23150
2016-10-17,Russia,Europe,39446,16869
2016-10-17,Turkey,Asia,31870,12274
2016-10-24,United States,North America,271431,75104
2016-10-24,Iraq,Asia,61166,19829
2016-10-24,Syria,Asia,55908,22417
2016-10-24,Pakistan,Asia,42490,16918
2016-10-24,Russia,Europe,32301,15175
2016-10-31,United States,North America,365314,86717
2016-10-31,Iraq,Asia,61856,19462
2016-10-31,Turkey,Asia,50401,17036
2016-10-31,Syria,Asia,41674,17518
2016-10-31,Afghanistan,Asia,25830,6056
2016-11-07,United States,North America,337873,90691
2016-11-07,Iraq,Asia,40810,14828
2016-11-07,Syria,Asia,39582,15058
2016-11-07,United Kingdom,Europe,23323,9627
2016-11-07,Afghanistan,Asia,22725,7222
2016-11-14,United States,North America,304673,80817
2016-11-14,Syria,Asia,49056,19164
2016-11-14,Iraq,Asia,34568,12065
2016-11-14,Russia,Europe,29137,14162
2016-11-14,Israel,Asia,26535,6930
2016-11-21,United States,North America,311668,65873
2016-11-21,Syria,Asia,42234,16670
2016-11-21,Turkey,Asia,30961,12548
2016-11-21,United Kingdom,Europe,28859,10451
2016-11-21,Israel,Asia,28648,10335
2016-11-28,United States,North America,292031,76780
2016-11-28,Syria,Asia,52140,19200
2016-11-28,Russia,Europe,24903,11995
2016-11-28,Iraq,Asia,22934,8709
2016-11-28,United Kingdom,Europe,22782,9201
2016-12-05,United States,North America,287247,76302
2016-12-05,Syria,Asia,71111,24034
2016-12-05,Russia,Europe,30844,13542
2016-12-05,United Kingdom,Europe,25399,10268
2016-12-05,Iraq,Asia,24085,9040
2016-12-12,United States,North America,263420,69192
2016-12-12,Syria,Asia,105979,31551
2016-12-12,Russia,Europe,40152,16676
2016-12-12,Turkey,Asia,32866,12709
2016-12-12,United Kingdom,Europe,28111,10181
2016-12-19,United States,North America,192126,61530
2016-12-19,Turkey,Asia,116094,38845
2016-12-19,Russia,Europe,94035,36861
2016-12-19,Germany,Europe,91559,23006
2016-12-19,Syria,Asia,68168,25550
2016-12-26,United States,North America,187072,57803
2016-12-26,Russia,Europe,58369,21002
2016-12-26,Syria,Asia,47616,16753
2016-12-26,Turkey,Asia,41133,14366
2016-12-26,Israel,Asia,36183,10096
2017-01-02,United States,North America,246440,68977
2017-01-02,Turkey,Asia,83483,24904
2017-01-02,Israel,Asia,58529,13345
2017-01-02,Syria,Asia,38415,15272
2017-01-02,Iraq,Asia,33495,13037
2017-01-09,United States,North America,263202,74810
2017-01-09,Israel,Asia,37197,11251
2017-01-09,Russia,Europe,31605,13554
2017-01-09,Syria,Asia,29940,12005
2017-01-09,Afghanistan,Asia,25470,7220
2017-01-16,United States,North America,337944,82965
2017-01-16,Israel,Asia,45129,9271
2017-01-16,Mexico,North America,36691,9816
2017-01-16,Syria,Asia,32066,12029
2017-01-16,Turkey,Asia,31980,12172
2017-01-23,United States,North America,363668,94548
2017-01-23,Syria,Asia,58891,14485
2017-01-23,Mexico,North America,38434,10798
2017-01-23,Israel,Asia,37411,8152
2017-01-23,United Kingdom,Europe,36788,11889
2017-01-30,United States,North America,426117,119058
2017-01-30,Canada,North America,63234,15529
2017-01-30,Iraq,Asia,61486,12655
2017-01-30,Iran,Asia,56054,16591
2017-01-30,Syria,Asia,51024,16034
2017-02-06,United States,North America,375212,96198
2017-02-06,Syria,Asia,51250,16080
2017-02-06,Israel,Asia,41949,10804
2017-02-06,Russia,Europe,31173,14121
2017-02-06,United Kingdom,Europe,29190,11287
2017-02-13,United States,North America,280578,83212
2017-02-13,Pakistan,Asia,38909,14144
2017-02-13,Russia,Europe,35559,14307
2017-02-13,Syria,Asia,35194,13142
2017-02-13,North Korea,Asia,30521,8384
2017-02-20,United States,North America,283961,80642
2017-02-20,Syria,Asia,60226,15686
2017-02-20,Iraq,Asia,38353,12590
2017-02-20,Israel,Asia,36989,10031
2017-02-20,Malaysia,Asia,29067,6533
2017-02-27,United States,North America,301432,83464
2017-02-27,Syria,Asia,47276,16659
2017-02-27,Israel,Asia,42366,10018
2017-02-27,Russia,Europe,31608,13304
2017-02-27,Turkey,Asia,25555,9219
2017-03-06,United States,North America,310870,82004
2017-03-06,Turkey,Asia,48540,14990
2017-03-06,Syria,Asia,42765,15654
2017-03-06,Iraq,Asia,33852,12969
2017-03-06,North Korea,Asia,29728,9101
2017-03-13,United States,North America,293227,75451
2017-03-13,Syria,Asia,51784,17127
2017-03-13,France,Europe,48186,11513
2017-03-13,Israel,Asia,35825,12313
2017-03-13,Turkey,Asia,31873,12888
2017-03-20,United States,North America,244461,72224
2017-03-20,United Kingdom,Europe,136893,33397
2017-03-20,Syria,Asia,39822,16484
2017-03-20,Israel,Asia,39218,11201
2017-03-20,Russia,Europe,33591,14516
2017-03-27,United States,North America,267341,73105
2017-03-27,Russia,Europe,36187,13982
2017-03-27,United Kingdom,Europe,35035,13242
2017-03-27,Israel,Asia,29366,9202
2017-03-27,Iraq,Asia,22405,8294
2017-04-03,Syria,Asia,295302,61602
2017-04-03,United States,North America,267891,81891
2017-04-03,Russia,Europe,105651,32555
