mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2020-04-13,United Kingdom,Europe,7705
2020-04-13,China,Asia,5392
2020-04-20,United States,North America,13975
2020-04-20,Canada,North America,9246
2020-04-20,United Kingdom,Europe,8759
2020-04-27,United States,North America,17606
2020-04-27,United Kingdom,Europe,10198
2020-04-27,China,Asia,5698
2020-05-04,United States,North America,19567
2020-05-04,United Kingdom,Europe,10425
2020-05-04,Australia,Oceania,6153
2020-05-11,United States,North America,17421
2020-05-11,United Kingdom,Europe,9483
2020-05-11,Australia,Oceania,6699
2020-05-18,United States,North America,16746
2020-05-18,United Kingdom,Europe,10325
2020-05-18,China,Asia,6271
2020-05-25,United States,North America,50422
2020-05-25,United Kingdom,Europe,7835
2020-05-25,China,Asia,6841
2020-06-01,United States,North America,68443
2020-06-01,United Kingdom,Europe,14525
2020-06-01,Germany,Europe,8179
2020-06-08,United States,North America,32780
2020-06-08,United Kingdom,Europe,16726
2020-06-08,Russia,Europe,5960
2020-06-15,United States,North America,30179
2020-06-15,China,Asia,11192
2020-06-15,United Kingdom,Europe,10118
2020-06-22,United States,North America,29027
2020-06-22,United Kingdom,Europe,11067
2020-06-22,Australia,Oceania,6085
2020-06-29,United States,North America,26278
2020-06-29,United Kingdom,Europe,12862
2020-06-29,China,Asia,7077
2020-07-06,United States,North America,21139
2020-07-06,United Kingdom,Europe,9610
2020-07-06,Russia,Europe,8461
2020-07-13,United States,North America,29645
2020-07-13,United Kingdom,Europe,14087
2020-07-13,Australia,Oceania,8099
2020-07-20,United States,North America,26109
2020-07-20,China,Asia,11133
2020-07-20,United Kingdom,Europe,9515
2020-07-27,United States,North America,18664
2020-07-27,United Kingdom,Europe,8542
2020-07-27,Australia,Oceania,8502
2020-08-03,United States,North America,19294
2020-08-03,Lebanon,Asia,12409
2020-08-03,China,Asia,8472
2020-08-10,United States,North America,20792
2020-08-10,Belarus,Europe,13232
2020-08-10,Russia,Europe,7578
2020-08-17,United States,North America,26844
